cleaned_text,manual_label
Now bring that pokemon game to ps5 and pc,Neutral
"Play Cassette Beasts while you're waiting, Pombomb is just about the same thing.",Negative
Why is Duplicas ditto taking on human forms,Neutral
"Wind / waves legit looks like the switch 2 version of scarlet / violet, just with better water effects. It's going to take a lot more effort than that to get me back after that waste of my time and money they called legends ZA",Negative
"My childhood dog was a pomeranian named Meeko. He had to be put down when he was 13 in 2015. My dad lied about it, but I always knew the truth. I dont think I had the proper time to grieve, but Im very excited to have a pokemon and to name him Meeko (maybe, that might make me very sad lol)",Positive
"<a href="" The storm is coming",Positive
"Damn, I thought we were getting pokemon blue",Negative
@RubiixCat People said the same thing about WiiU when the Switch came out. And the Switch still underperformed. You guys have some memory issues.,Negative
@theamazingspooderman2697 youre so cool,Positive
Pokemon is garbage. I'm so glad we have palworld now,Negative
"Thats Mrs Pokemon to you, theyre married to Nintendo!",Neutral
"You try and run those graphics on a Switch 1, and your Switch would melt itself into a pile of slag.",Negative
i cant already see the chat xd,Neutral
Extremely phoned in starter designs.,Negative
I'm either going for grass starter or water this time.,Positive
"Mine passed in 2018 and I still miss him all the time. I'm so glad all of us fluffy pom lovers get our cute dogs in game now. I'm sorry you lost your pup so recently, it is so so hard but his memory is strong.",Positive
I can't believe school made me miss this,Positive
@kyleefaren3075the company doesnt but the devs do,Neutral
"@WongRei XY came out in thirteen years ago. If it takes over a third of the existence of the franchise for change to happen, thats a problem.",Negative
NO ONE WILL READ SO NO ONE KNOWS IM GAY,Neutral
@thingthang2904that was a nightmare,Negative
the funding for pokemon winds and waves will be DOWN BY 200%THE GRAPHICS? DOWN BY 50%the cost? ofc course its gonna be 70 bucks! and only on the nintendo switch 2! NICEy'all better make this game about exploring the seas and the skies,Negative
since i love geckos im getting the water type,Neutral
I'm shocked that they're skipping a release on the 30th anniversary.,Negative
That's just Gyarados,Neutral
this wasnt worth me almost peeing my pants because i cant pause this,Positive
"TAILLOW!!! FINALLY, YEEEEEES",Positive
@TsgRaptorPrints Happy Birthday!!!,Positive
Wake me up when they're remaking Explorers of Sky,Negative
"No chance the game actually looks that good, right?",Negative
graduated from ps3 graphics to ps4 graphicsstill not great but the water is beautiful and i imagine thats where most of the games focus is gonna be. if the writing is anything like SV im tentatively excited,Positive
Imagine still being into pokemon in your 30s. Be with your wife instead,Negative
@CoolkiddVids uh oh,Neutral
Happy Pokemon day to all and to all a good battle,Positive
Pokemon stadium shits on all of these crappy games.And shadow colosseum is the peak,Positive
"Can we talk about the fact the pokemon starters look handmade and their fur doesn't look, like fur at all?",Neutral
"Gen 10 actually looks really good. i hope champions has doubles battling, i vastly prefer doubles over singles (or bring back triples for maximum messiness :D). im not interesting in pokopia but i cant deny it looks cute. and finally i know it wont happen but releasing Pokemon Unite on pc would be cool",Positive
"<a href="" They should jus have a Pokemon Music Orchestra Tour like Final Fantasy does",Neutral
"Why must they keep ruining good designs? Have they ever rejected a single design? If these are the ones that got through, I shutter to think of the rejected designs. I hate being negative about Pokemon. Especially on a day like today but, they just slap together whatever and ship it out.",Negative
@kyleefaren3075they don't but the games get an extremely small budget,Neutral
@thechaoswolf2941 DONT SPEAK IT INTO EXISTENCE,Neutral
